seed,budget_pct,policy,latency_ms,delta_quality,delta_psnr_db,efficiency
43,80%,heuristic,1236.3495500030695,6.378913892052237e-05,0.0006397549361878418,5.15947443183556e-08
43,80%,learned_utility,1253.7396909974632,5.130100483389331e-05,0.000481480928177902,4.091838617079972e-08
44,10%,oracle_reference,662.1651790046599,9.511668908815354e-05,0.00037699043897632123,1.4364495763901255e-07
44,10%,no_op,0.0,0.0,0.0,0.0
44,10%,random,717.9000560063287,1.85341027349575e-05,0.0002249205903179785,2.5817107242005998e-08
44,10%,random,723.2586220052326,3.0945673691042665e-05,5.774059932939224e-05,4.2786456669186836e-08
44,10%,random,699.5912490019691,1.1978640710798557e-05,0.00017745653905087977,1.712234212175636e-08
44,10%,random,656.2730880032177,1.556043974348494e-05,0.0004308056967978757,2.3710312106244172e-08
44,10%,random,657.3583400022471,8.67198591215361e-06,6.862373021299106e-05,1.3192174472334168e-08
44,10%,error_only,646.8171649976284,7.341555044758245e-05,0.00034826908553498015,1.1350278629023649e-07
44,10%,error_influence,648.9078390004579,7.341555044758245e-05,0.00034826908553498015,1.1313709903808181e-07
44,10%,heuristic,672.8815280002891,6.968660349364903e-05,0.00036943216965568126,1.0356444722260095e-07
44,10%,learned_utility,703.1099269952392,3.483564282597488e-05,0.0003234781752965432,4.9545087458579934e-08
44,20%,oracle_reference,713.9084749942413,0.0001254015974326688,0.001098714587650207,1.7565500596372713e-07
44,20%,no_op,0.0,0.0,0.0,0.0
44,20%,random,778.4893349962658,8.883295214182928e-05,0.0005653467588828676,1.1410940156586138e-07
44,20%,random,764.0274809964467,3.521783276811935e-05,9.583167673810067e-05,4.6094981717396024e-08
44,20%,random,773.0879539958551,4.206559310695224e-05,0.0007739692320924974,5.441242861116651e-08
44,20%,random,774.7969269985333,2.4108270822707783e-05,0.0004453177905929806,3.111559943338988e-08
44,20%,random,802.4435199986328,1.7397384113871308e-05,7.648378614533158e-05,2.16805091950907e-08
44,20%,error_only,726.4363100039191,0.00011704182562752053,0.0011721938608868498,1.611178075981487e-07
44,20%,error_influence,687.9269600030966,8.89785870947801e-05,0.0007785046145478702,1.293430731285478e-07
44,20%,heuristic,772.1782959997654,8.316002989916261e-05,0.0007549206774921657,1.0769537337421859e-07
44,20%,learned_utility,786.545291004586,0.0001312381304638508,0.001032493591665684,1.6685387601295242e-07
44,40%,oracle_reference,852.7384379995055,0.00017154990612177912,0.0017289229030676978,2.0117529417839918e-07
44,40%,no_op,0.0,0.0,0.0,0.0
44,40%,random,955.3678849988501,0.00010574121323933465,0.0006391193576966714,1.1068114691699306e-07
44,40%,random,900.452387999394,6.542599367976974e-05,0.0007933202302492504,7.265902623139445e-08
44,40%,random,950.590670996462,9.704914764913048e-05,0.0014029208117598557,1.0209351996627336e-07
44,40%,random,899.8237400010112,7.651097588519833e-05,0.0009514573996707298,8.50288478553726e-08
44,40%,random,898.6595230016974,1.603038850055118e-05,6.832142065249514e-05,1.7838111198117135e-08
44,40%,error_only,847.8293539956212,0.00017826158755267086,0.0016248898925450561,2.102564469047524e-07
44,40%,error_influence,863.9229039981728,0.00016547537430945024,0.001915523238221084,1.9153951532439082e-07
44,40%,heuristic,840.3782280001906,0.00012874369834632585,0.0013711686691362246,1.5319732717575432e-07
44,40%,learned_utility,940.7821869972395,0.0001367286830552009,0.0010457981856024645,1.453351104484742e-07
44,60%,oracle_reference,1001.2477620039135,0.00018316972379116902,0.0018517092555505599,1.829414563929413e-07
44,60%,no_op,0.0,0.0,0.0,0.0
44,60%,random,1199.1260750000947,0.00012747739433255047,0.0009925800544028363,1.0630858338439551e-07
44,60%,random,1143.136382001103,0.00017817681722234508,0.0016844666314366208,1.558666315128908e-07
44,60%,random,1056.3259129994549,0.00017824938433206488,0.0020697694383180476,1.6874468583841025e-07
44,60%,random,1006.7530829983298,0.00019204449935058773,0.0016684382913716433,1.9075630618248262e-07
44,60%,random,1070.7929720010725,6.387595837424557e-05,0.0007225685619260958,5.965294883741691e-08
44,60%,error_only,973.2218080025632,0.0001953984887187514,0.0019022159796229232,2.0077487692120929e-07
44,60%,error_influence,1033.2036949985195,0.00020177359198425302,0.0019748015219001047,1.9528926673509636e-07
44,60%,heuristic,969.287059000635,0.00019973267869296456,0.002051320094574649,2.0606143127392533e-07
44,60%,learned_utility,1055.8262859995011,0.00015622464469519496,0.0014579584089133846,1.4796434486124242e-07
44,80%,oracle_reference,1117.0900270008133,0.00018957822279341946,0.0018798356821143614,1.6970720193644827e-07
44,80%,no_op,0.0,0.0,0.0,0.0
44,80%,random,1296.6996229952201,0.00017908800870114548,0.0017349714105687752,1.3811063528149545e-07
44,80%,random,1285.1684760025819,0.00012205829733509524,0.0014071544483176268,9.497454972965741e-08
44,80%,random,1228.8137299983646,0.00017967304096323973,0.001998089640430578,1.462166613026686e-07
44,80%,random,1182.4848679971183,0.00019668372219039086,0.001713196822990426,1.663308575978075e-07
44,80%,random,1278.39768800186,0.00011845065551617658,0.0013669350676579484,9.265556143277713e-08
44,80%,error_only,1189.8918349979795,0.00020547403744340613,0.0021284449213894163,1.726829543659782e-07
44,80%,error_influence,1110.5989839998074,0.00021376671550714282,0.0021284449213894163,1.9247876018872703e-07
44,80%,heuristic,1131.580932000361,0.0002102928019674169,0.0021499191365421666,1.8583982463867623e-07
44,80%,learned_utility,1142.2061490011401,0.00020376222248389434,0.001809671172637195,1.7839356114663233e-07
44,10%,oracle_reference,725.818518003507,3.7855388455476535e-05,0.0001804688642117469,5.2155445908991845e-08
44,10%,no_op,0.0,0.0,0.0,0.0
44,10%,random,742.9815480063553,-4.0098977984355e-06,-5.7114913369460396e-05,-5.397035510767758e-09
44,10%,random,752.1216059976723,2.8152543927205046e-06,-0.00014638545832568184,3.743084057512393e-09
44,10%,random,798.713381998823,1.0422701518457637e-05,1.3438912304764017e-05,1.304936383108327e-08
44,10%,random,800.5355339992093,1.4409741832718653e-06,-1.919841221109664e-06,1.8000127690437894e-09
44,10%,random,726.4894469990395,4.032425271241502e-05,0.0003844653065510073,5.550562761645777e-08
44,10%,error_only,680.7241120040999,3.7855388455476535e-05,0.0001804688642117469,5.5610470949864835e-08
44,10%,error_influence,723.6120929956087,2.2744536118309104e-05,-5.327527887999395e-05,3.143194584290499e-08
44,10%,heuristic,763.7748929992085,2.5157544028579506e-05,0.0001862286323053297,3.293842761679465e-08
44,10%,learned_utility,760.102915999596,7.611385614010688e-06,1.1519065143517082e-05,1.0013625068127924e-08
44,20%,oracle_reference,719.5263620014885,8.060950044209159e-05,0.0003470252415578301,1.1203133713942345e-07
44,20%,no_op,0.0,0.0,0.0,0.0
44,20%,random,881.5572270032135,3.901954265085033e-05,8.9753524337155e-05,4.426206428310308e-08
44,20%,random,868.7091930041788,1.2767839466742254e-05,-0.00011998844524896413,1.4697484002199152e-08
44,20%,random,790.8864130004076,2.4104958639522397e-05,0.000179028923382063,3.0478407826067906e-08
44,20%,random,865.2677130012307,-5.91227982702702e-06,-0.0001310272156906933,-6.8328908362013624e-09
44,20%,random,762.6402060050168,2.236379074563259e-05,-2.927748639969252e-05,2.9324169601262115e-08
44,20%,error_only,800.6042720007827,5.16904031845465e-05,6.575507412165393e-05,6.456423603057662e-08
