seed,domain,method,budget_fraction,realized_delta_q,oracle_delta_q,ose,ndcg,overlap,budget_cost,budget_realized_delta_q,budget_ose
43,tum_fr2_xyz,learned,0.6,0.24479535222053528,0.3901675343513489,0.6274108540409378,0.7763588225420164,0.625,1552.3833637237549,0.2596897482872009,0.6477334516932718
43,tum_fr2_xyz,learned,0.8,0.42441874742507935,0.47540831565856934,0.892745718824222,0.8103966386634966,0.78125,2104.344774246216,0.42441868782043457,0.8927455374842446
43,tum_fr2_xyz,oracle,0.1,0.08183559775352478,0.08183559775352478,0.9999998778038036,0.997325227775874,1.0,243.65157318115234,0.06725006550550461,0.9999998513012823
43,tum_fr2_xyz,oracle,0.2,0.19038072228431702,0.19038072228431702,0.9999999474736762,0.9978900566922727,1.0,496.2885494232178,0.19038072228431702,0.9999999474736762
43,tum_fr2_xyz,oracle,0.4,0.337510347366333,0.337510347366333,0.9999999703712796,0.9982263453867993,1.0,1040.196138381958,0.3417023718357086,0.9999999707347665
43,tum_fr2_xyz,oracle,0.6,0.3901675343513489,0.3901675343513489,0.999999974369985,0.9983594411271043,1.0,1588.5418758392334,0.40092068910598755,0.9999999750574116
43,tum_fr2_xyz,oracle,0.8,0.47540831565856934,0.47540831565856934,0.9999999789654505,0.9984431827702941,1.0,1953.3839931488037,0.4754083454608917,0.9999999789654518
44,tum_fr1_desk_val,random,0.1,0.06177517771720886,0.17743204534053802,0.34816244222976683,0.3073542394214146,0.25,283.5338592529297,0.06076114624738693,0.3501375837882904
44,tum_fr1_desk_val,random,0.2,0.07233557105064392,0.22170570492744446,0.3262684097896011,0.3361920541003546,0.125,562.3465881347656,0.11155703663825989,0.5038508719672755
44,tum_fr1_desk_val,random,0.4,0.19325560331344604,0.36898475885391235,0.5237495409734904,0.4752554584478528,0.3125,1139.0163135528564,0.23428300023078918,0.6475834782306479
44,tum_fr1_desk_val,random,0.6,0.28393375873565674,0.527738630771637,0.538019649879154,0.5291103695974908,0.4583333333333333,1694.4023094177246,0.2953459620475769,0.5560442124297156
44,tum_fr1_desk_val,random,0.8,0.4314954876899719,0.5601627826690674,0.7703037283750663,0.5771607845382418,0.78125,2289.9253463745117,0.452856183052063,0.8051600614691772
44,tum_fr1_desk_val,error_only,0.1,0.08590444922447205,0.17743204534053802,0.4841540558136419,0.5599044283058002,0.5,286.90099334716797,0.04946603626012802,0.28504923763596773
44,tum_fr1_desk_val,error_only,0.2,0.13340425491333008,0.22170570492744446,0.6017177092479914,0.5752072162938365,0.375,553.5732879638672,0.13310737907886505,0.6011836728115779
44,tum_fr1_desk_val,error_only,0.4,0.27439066767692566,0.36898475885391235,0.7436368404289387,0.7072695017760197,0.625,1157.9375,0.26656827330589294,0.736823454724915
44,tum_fr1_desk_val,error_only,0.6,0.37992942333221436,0.527738630771637,0.7199196609456107,0.7410541492914775,0.6666666666666666,1737.66552734375,0.30367621779441833,0.5717274825309143
44,tum_fr1_desk_val,error_only,0.8,0.421366810798645,0.5601627826690674,0.7522220617169405,0.7777395626187081,0.78125,2319.435297012329,0.41669774055480957,0.7408718064485513
44,tum_fr1_desk_val,heuristic,0.1,0.022396177053451538,0.17743204534053802,0.12622396223989785,0.20904529622168372,0.0,286.67066383361816,0.05823275074362755,0.3355676431728999
44,tum_fr1_desk_val,heuristic,0.2,0.07657825201749802,0.22170570492744446,0.34540495287890555,0.26293433845276987,0.0,565.8705253601074,0.07289552688598633,0.3292349446598844
44,tum_fr1_desk_val,heuristic,0.4,0.20252352952957153,0.36898475885391235,0.5488669089475458,0.46157321386706085,0.5,1138.5788459777832,0.1262509822845459,0.3489713302174009
44,tum_fr1_desk_val,heuristic,0.6,0.46325528621673584,0.527738630771637,0.8778119516497478,0.6075401845389429,0.7083333333333334,1731.3701648712158,0.46325528621673584,0.8721650331443923
44,tum_fr1_desk_val,heuristic,0.8,0.42386022210121155,0.5601627826690674,0.7566732879233187,0.6420629736571555,0.8125,2304.041723251343,0.4229138493537903,0.7519237976324964
44,tum_fr1_desk_val,learned,0.1,0.09976313263177872,0.17743204534053802,0.562261043757327,0.7357378901634329,0.5,275.69981384277344,0.09117605537176132,0.5254042377218782
44,tum_fr1_desk_val,learned,0.2,0.20428724586963654,0.22170570492744446,0.9214342802867833,0.8845095607669621,0.75,567.6249122619629,0.17178910970687866,0.7758909283415589
44,tum_fr1_desk_val,learned,0.4,0.29715579748153687,0.36898475885391235,0.8053335057826903,0.8899696316010697,0.75,1158.1212310791016,0.2877967655658722,0.7955012966586769
44,tum_fr1_desk_val,learned,0.6,0.3596251606941223,0.527738630771637,0.681445573453355,0.8931056486055107,0.6666666666666666,1728.6474380493164,0.3710204064846039,0.6985155588003309
44,tum_fr1_desk_val,learned,0.8,0.48666325211524963,0.5601627826690674,0.8687889636446458,0.9083922453933579,0.8125,2291.406482696533,0.5169763565063477,0.9191631483916557
44,tum_fr1_desk_val,oracle,0.1,0.17743204534053802,0.17743204534053802,0.9999999436403981,0.9987098298417209,1.0,274.4217014312744,0.1735350489616394,0.9999999423747566
44,tum_fr1_desk_val,oracle,0.2,0.22170570492744446,0.22170570492744446,0.9999999548951636,0.9989303534813568,1.0,577.8143310546875,0.22140882909297943,0.9999999548346848
