seed,domain,method,budget_fraction,regret,oracle_delta_q,realized_delta_q,budget_regret
44,tum_fr1_desk_val,oracle,0.8,0.0,0.5601627826690674,0.5601627826690674,-0.00227963924407959
44,tum_fr2_xyz,random,0.1,0.07910522259771824,0.10548802465200424,0.026382802054286003,0.07910522073507309
44,tum_fr2_xyz,random,0.2,0.12127435579895973,0.17258165776729584,0.051307301968336105,0.12127435579895973
44,tum_fr2_xyz,random,0.4,0.1887083575129509,0.302217960357666,0.11350960284471512,0.1887083649635315
44,tum_fr2_xyz,random,0.6,0.14461833238601685,0.39707791805267334,0.2524595856666565,0.13111716508865356
44,tum_fr2_xyz,random,0.8,0.05595394968986511,0.4344448447227478,0.3784908950328827,0.08692649006843567
44,tum_fr2_xyz,error_only,0.1,0.0860160794109106,0.10548802465200424,0.019471945241093636,0.06185873597860336
44,tum_fr2_xyz,error_only,0.2,0.10215099900960922,0.17258165776729584,0.07043065875768661,0.09331458806991577
44,tum_fr2_xyz,error_only,0.4,0.1590779572725296,0.302217960357666,0.1431400030851364,0.1590779721736908
44,tum_fr2_xyz,error_only,0.6,0.19457465410232544,0.39707791805267334,0.2025032639503479,0.19457462430000305
44,tum_fr2_xyz,error_only,0.8,0.11777034401893616,0.4344448447227478,0.31667450070381165,0.11777034401893616
44,tum_fr2_xyz,heuristic,0.1,0.08986136503517628,0.10548802465200424,0.015626659616827965,0.06538683548569679
44,tum_fr2_xyz,heuristic,0.2,0.12701445817947388,0.17258165776729584,0.04556719958782196,0.09334353357553482
44,tum_fr2_xyz,heuristic,0.4,0.14932577311992645,0.302217960357666,0.15289218723773956,0.1445949226617813
44,tum_fr2_xyz,heuristic,0.6,0.1531984657049179,0.39707791805267334,0.24387945234775543,0.11521542072296143
44,tum_fr2_xyz,heuristic,0.8,0.12116008996963501,0.4344448447227478,0.3132847547531128,0.10185971856117249
44,tum_fr2_xyz,learned,0.1,0.05679456889629364,0.10548802465200424,0.0486934557557106,0.07460401207208633
44,tum_fr2_xyz,learned,0.2,0.09909489005804062,0.17258165776729584,0.07348676770925522,0.11320292204618454
44,tum_fr2_xyz,learned,0.4,0.19175834953784943,0.302217960357666,0.11045961081981659,0.19175834953784943
44,tum_fr2_xyz,learned,0.6,0.14546743035316467,0.39707791805267334,0.25161048769950867,0.14831142127513885
