experiment,variant,beta,seed,domain,budget_fraction,realized_delta_q,oracle_delta_q,ose,ndcg
sensitivity,B2_beta_0.95,0.95,45,tum_fr2_xyz,0.6,0.2072892189025879,0.483527272939682,0.42870221850221085,0.8472002141897423
sensitivity,B2_beta_0.95,0.95,45,tum_fr2_xyz,0.8,0.2605910003185272,0.5111280679702759,0.5098350326465172,0.8655899487307521
sensitivity,B2_beta_0.95,0.95,46,tum_fr1_desk_val,0.1,0.03237529098987579,0.2551996409893036,0.1268625990057987,0.08947684292310551
sensitivity,B2_beta_0.95,0.95,46,tum_fr1_desk_val,0.2,0.05868542939424515,0.33358636498451233,0.175922740840269,0.13468422700475352
sensitivity,B2_beta_0.95,0.95,46,tum_fr1_desk_val,0.4,0.27877113223075867,0.5427982211112976,0.5135815046044213,0.33636984734636166
sensitivity,B2_beta_0.95,0.95,46,tum_fr1_desk_val,0.6,0.3737340569496155,0.6048338413238525,0.6179119375206781,0.3882748828284544
sensitivity,B2_beta_0.95,0.95,46,tum_fr1_desk_val,0.8,0.5269385576248169,0.6498000621795654,0.8109241291053642,0.45467853730839053
sensitivity,B2_beta_0.95,0.95,46,tum_fr2_xyz,0.1,0.028163358569145203,0.06018306314945221,0.4679614565246166,0.2903898705478911
sensitivity,B2_beta_0.95,0.95,46,tum_fr2_xyz,0.2,0.04710858315229416,0.09243206679821014,0.5096562230786789,0.3545168448659169
sensitivity,B2_beta_0.95,0.95,46,tum_fr2_xyz,0.4,0.07593094557523727,0.17216911911964417,0.4410253218070887,0.3764079671906444
sensitivity,B2_beta_0.95,0.95,46,tum_fr2_xyz,0.6,0.14152756333351135,0.23603671789169312,0.5995997512660494,0.43874269862642773
sensitivity,B2_beta_0.95,0.95,46,tum_fr2_xyz,0.8,0.14782525599002838,0.2549758553504944,0.5797617581837604,0.48788267640006894
ablation,B0,,42,tum_fr1_desk_val,0.1,0.05306234583258629,0.14877355098724365,0.35666515932314097,0.3838752839049028
ablation,B0,,42,tum_fr1_desk_val,0.2,0.1867445707321167,0.22372642159461975,0.8347005286817778,0.5320208192991787
ablation,B0,,42,tum_fr1_desk_val,0.4,0.2695666551589966,0.37412458658218384,0.7205264171926236,0.6245416387862522
ablation,B0,,42,tum_fr1_desk_val,0.6,0.3261391520500183,0.4049728810787201,0.8053357625526154,0.664056931877727
ablation,B0,,42,tum_fr1_desk_val,0.8,0.4061662256717682,0.44048771262168884,0.9220829657960807,0.6855850333293794
ablation,B0,,42,tum_fr2_xyz,0.1,0.0747782289981842,0.09468899667263031,0.7897245057888935,0.684069561018027
ablation,B0,,42,tum_fr2_xyz,0.2,0.09795888513326645,0.14344912767410278,0.6828823562245171,0.6684974309559377
ablation,B0,,42,tum_fr2_xyz,0.4,0.17530424892902374,0.23647519946098328,0.741321888787449,0.7920335621524136
ablation,B0,,42,tum_fr2_xyz,0.6,0.2073705792427063,0.23266978561878204,0.8912655752810852,0.8324207864186244
ablation,B0,,42,tum_fr2_xyz,0.8,0.18181881308555603,0.2437291443347931,0.745987133060843,0.8475569905680541
ablation,B0,,43,tum_fr1_desk_val,0.1,0.10980022698640823,0.22852715849876404,0.48046903004008507,0.6608171581395555
ablation,B0,,43,tum_fr1_desk_val,0.2,0.25844627618789673,0.3096950054168701,0.8345186823236752,0.761308313686668
ablation,B0,,43,tum_fr1_desk_val,0.4,0.30881041288375854,0.436788409948349,0.7070022893928276,0.7865471340893698
ablation,B0,,43,tum_fr1_desk_val,0.6,0.4381253719329834,0.4868185222148895,0.8999767735620793,0.8007931183068256
ablation,B0,,43,tum_fr1_desk_val,0.8,0.5197800993919373,0.5047381520271301,1.0298014663769341,0.8260563779466973
ablation,B0,,43,tum_fr2_xyz,0.1,0.04288620129227638,0.08183559775352478,0.5240530677238016,0.5655172468465169
ablation,B0,,43,tum_fr2_xyz,0.2,0.09905721247196198,0.19038072228431702,0.5203111222622501,0.547951634864068
ablation,B0,,43,tum_fr2_xyz,0.4,0.1743624210357666,0.337510347366333,0.5166135415705599,0.6112148609619906
ablation,B0,,43,tum_fr2_xyz,0.6,0.3364129066467285,0.3901675343513489,0.8622267831272662,0.6929512030852145
ablation,B0,,43,tum_fr2_xyz,0.8,0.427410364151001,0.47540831565856934,0.8990384498608051,0.7553216805359328
ablation,B0,,44,tum_fr1_desk_val,0.1,0.14109469950199127,0.17743204534053802,0.7952041091514949,0.8147149091414477
ablation,B0,,44,tum_fr1_desk_val,0.2,0.14475798606872559,0.22170570492744446,0.6529285278735335,0.7914043633755383
ablation,B0,,44,tum_fr1_desk_val,0.4,0.2404797226190567,0.36898475885391235,0.6517334668474267,0.8069708755709671
ablation,B0,,44,tum_fr1_desk_val,0.6,0.3367002010345459,0.5344743728637695,0.6299650868774497,0.8424523634048471
ablation,B0,,44,tum_fr1_desk_val,0.8,0.398575097322464,0.5601627826690674,0.7115344013181073,0.8558616594855615
ablation,B0,,44,tum_fr2_xyz,0.1,0.0445224829018116,0.10548802465200424,0.4220619243565146,0.6978921549314896
ablation,B0,,44,tum_fr2_xyz,0.2,0.09262783825397491,0.19699403643608093,0.4702062825235181,0.7505686417342127
ablation,B0,,44,tum_fr2_xyz,0.4,0.16799426078796387,0.302217960357666,0.5558711832693061,0.7156088071590471
ablation,B0,,44,tum_fr2_xyz,0.6,0.26474088430404663,0.3939777612686157,0.6719690896559369,0.7521464488424624
ablation,B0,,44,tum_fr2_xyz,0.8,0.37212857604026794,0.4344448447227478,0.8565611308200471,0.8029673213353762
ablation,B0,,45,tum_fr1_desk_val,0.1,0.050230249762535095,0.4239445924758911,0.11848305054288688,0.036063818213233276
ablation,B0,,45,tum_fr1_desk_val,0.2,0.2047848105430603,0.5745325684547424,0.3564372469422842,0.22701217237629057
