variant,seed,domain,method,budget_fraction,realized_delta_q,oracle_delta_q,ose,ndcg,overlap,regret,budget_cost,budget_realized_delta_q,budget_ose
A1_standard,44,tum_fr1_desk_val,random,0.8,0.4314954876899719,0.5601627826690674,0.7703037283750663,0.5900634177584175,0.78125,0.12866729497909546,1923.9871807098389,0.452856183052063,0.8051600614691772
A1_standard,44,tum_fr1_desk_val,oracle,0.1,0.17743204534053802,0.17743204534053802,0.9999999436403981,0.9990124396284144,1.0,0.0,237.75885391235352,0.17743204534053802,0.9999999436403981
A1_standard,44,tum_fr1_desk_val,oracle,0.2,0.22170570492744446,0.22170570492744446,0.9999999548951636,0.9991755450781039,1.0,0.0,487.88024520874023,0.22140882909297943,0.9999999548346848
A1_standard,44,tum_fr1_desk_val,oracle,0.4,0.36898475885391235,0.36898475885391235,0.9999999728986103,0.9993046372221637,1.0,0.0,970.6125869750977,0.36178040504455566,0.9999999723589239
A1_standard,44,tum_fr1_desk_val,oracle,0.6,0.5344743728637695,0.5344743728637695,0.9999999812900293,0.9993706055906652,1.0,0.0,1446.6301174163818,0.5532650947570801,0.9999999819254821
A1_standard,44,tum_fr1_desk_val,oracle,0.8,0.5601627826690674,0.5601627826690674,0.9999999821480466,0.999415532311414,1.0,0.0,1949.3297863006592,0.562442421913147,0.9999999822204025
A1_standard,44,tum_fr2_xyz,learned,0.1,0.0445224829018116,0.10548802465200424,0.4220619243565146,0.6978921549314896,0.5,0.06096554175019264,203.80126571655273,0.06395947188138962,0.6783231944631358
A1_standard,44,tum_fr2_xyz,learned,0.2,0.09262783825397491,0.19699403643608093,0.4702062825235181,0.7505686417342127,0.5,0.10436619818210602,411.3627815246582,0.07805328071117401,0.396221521021957
A1_standard,44,tum_fr2_xyz,learned,0.4,0.16799426078796387,0.302217960357666,0.5558711832693061,0.7156088071590471,0.5625,0.13422369956970215,856.4521865844727,0.15702034533023834,0.5195599227418853
A1_standard,44,tum_fr2_xyz,learned,0.6,0.26474088430404663,0.3939777612686157,0.6719690896559369,0.7521464488424624,0.6666666666666666,0.1292368769645691,1070.181692123413,0.18079158663749695,0.4588877845959296
A1_standard,44,tum_fr2_xyz,learned,0.8,0.37212857604026794,0.4344448447227478,0.8565611308200471,0.8029673213353762,0.78125,0.06231626868247986,1070.181692123413,0.18079158663749695,0.4161439240726508
A1_standard,44,tum_fr2_xyz,error_only,0.1,0.019471945241093636,0.10548802465200424,0.18458913662890652,0.241150714168025,0.0,0.0860160794109106,205.15362739562988,0.04362928867340088,0.4627111136873978
A1_standard,44,tum_fr2_xyz,error_only,0.2,0.07043065875768661,0.19699403643608093,0.3575268391704386,0.4108262113773907,0.375,0.12656337767839432,431.9412021636963,0.07926706969738007,0.40238307264326395
